latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight,city,country
46.52122,-84.37997,296.7,0.5,0.7,2017-04-22,636,N,nominal,1.0NRT,274.4,1.2,N,Sault Ste. Marie,Canada
46.5211,-84.37334,300.6,0.5,0.7,2017-04-22,636,N,nominal,1.0NRT,273.8,1.2,N,Sault Ste. Marie,Canada
46.51547,-84.39979,309.7,0.5,0.7,2017-04-22,636,N,nominal,1.0NRT,271.6,2.9,N,Sault Ste. Marie,Canada
46.51536,-84.39334000000002,313.3,0.5,0.7,2017-04-22,636,N,nominal,1.0NRT,271.6,2.7,N,Sault Ste. Marie,Canada
42.87283,-84.23669,297.1,0.5,0.7,2017-04-22,636,N,nominal,1.0NRT,273.7,0.6,N,Perry,United States
42.30161,-83.15596,296.5,0.4,0.6,2017-04-22,636,N,nominal,1.0NRT,272.4,1.0,N,Melvindale,United States
42.29663,-83.17138,298.9,0.4,0.6,2017-04-22,636,N,nominal,1.0NRT,272.4,1.2,N,Melvindale,United States
42.29602,-83.15648,303.1,0.4,0.6,2017-04-22,636,N,nominal,1.0NRT,273.5,1.0,N,Melvindale,United States
42.29084,-83.1669,307.8,0.4,0.6,2017-04-22,636,N,nominal,1.0NRT,271.6,1.2,N,Melvindale,United States
42.29816,-83.15391,309.8,0.4,0.6,2017-04-22,636,N,nominal,1.0NRT,273.3,2.0,N,Melvindale,United States
42.29303,-83.16428,309.2,0.4,0.6,2017-04-22,636,N,nominal,1.0NRT,271.9,2.1,N,Melvindale,United States
42.26557,-83.43903,296.6,0.4,0.6,2017-04-22,636,N,nominal,1.0NRT,273.5,0.6,N,Wayne,United States
42.24149,-83.13894,295.0,0.4,0.6,2017-04-22,636,N,nominal,1.0NRT,275.7,1.0,N,Ecorse,United States
41.36435,-84.92625,296.9,0.5,0.7,2017-04-22,636,N,nominal,1.0NRT,274.2,1.5,N,Butler,United States
41.36417,-84.9203,298.2,0.5,0.7,2017-04-22,636,N,nominal,1.0NRT,274.4,1.5,N,Butler,United States
35.48382,-80.41450999999998,302.2,0.5,0.5,2017-04-22,636,N,nominal,1.0NRT,286.0,1.9,N,Rockwell,United States
35.47934,-80.41515,310.5,0.5,0.5,2017-04-22,636,N,nominal,1.0NRT,284.3,1.9,N,Rockwell,United States
35.0748,-79.22542,322.5,0.4,0.5,2017-04-22,636,N,nominal,1.0NRT,289.3,1.8,N,Raeford,United States
35.07063,-79.22601999999998,328.1,0.4,0.5,2017-04-22,636,N,nominal,1.0NRT,288.8,2.8,N,Raeford,United States
34.78426,-80.4982,305.0,0.5,0.5,2017-04-22,636,N,nominal,1.0NRT,287.2,0.9,N,Pageland,United States
34.94228,-85.70218,297.5,0.5,0.7,2017-04-22,636,N,nominal,1.0NRT,284.4,1.2,N,Bridgeport,United States
34.377320000000005,-79.88815,307.9,0.4,0.5,2017-04-22,636,N,nominal,1.0NRT,289.1,1.1,N,Darlington,United States
34.373020000000004,-79.88875,302.1,0.4,0.5,2017-04-22,636,N,nominal,1.0NRT,288.6,0.8,N,Darlington,United States
34.238409999999995,-84.79791,333.6,0.4,0.6,2017-04-22,636,N,nominal,1.0NRT,286.7,4.0,N,Cartersville,United States
33.96206,-81.05286,306.4,0.5,0.5,2017-04-22,636,N,nominal,1.0NRT,289.2,1.6,N,Cayce,United States
33.73885,-79.00554,306.9,0.4,0.5,2017-04-22,636,N,nominal,1.0NRT,289.4,0.7,N,Forestbrook,United States
33.7384,-79.00128000000002,299.9,0.4,0.5,2017-04-22,636,N,nominal,1.0NRT,289.2,0.7,N,Forestbrook,United States
33.76739,-86.39560999999998,302.7,0.5,0.7,2017-04-22,636,N,nominal,1.0NRT,287.5,1.0,N,Springville,United States
33.76271,-86.39607,306.0,0.5,0.7,2017-04-22,636,N,nominal,1.0NRT,287.5,1.1,N,Springville,United States
33.73213,-86.15611,299.2,0.5,0.7,2017-04-22,636,N,nominal,1.0NRT,287.2,0.9,N,Ragland,United States
33.19717,-80.47858000000002,302.2,0.5,0.5,2017-04-22,636,N,nominal,1.0NRT,288.5,0.8,N,Saint George,United States
33.54242,-86.80320999999998,301.6,0.5,0.7,2017-04-22,636,N,nominal,1.0NRT,287.6,0.8,N,Birmingham,United States
